countries_by_wealth
Area,GDP per Capita
Afghanistan,508.453722
Angola,1895.770703
Austria,48105.631983
Bangladesh,2000.640157
Belgium,45028.323405
Benin,1254.212589
Bhutan,3217.962935
Bulgaria,10058.077407
Burkina Faso,830.925337
Burundi,285.875782
Cambodia,1512.728288
Central African Republic,481.016462
Chad,679.067284
Comoros,1420.651905
Croatia,13934.241955
Cyprus,28133.071159
Czechia,22910.628937
Democratic Republic of the Congo,505.883924
Denmark,61476.596929
Djibouti,3465.038713
Eritrea,587.614196
Estonia,23105.523391
Ethiopia,840.36193
Finland,48685.245393
France,38958.603419
Gambia,757.412441
Germany,45908.724713
Greece,18117.070258
Guinea,1179.48889
Guinea-Bissau,668.190171
Haiti,1359.802536
Hungary,16128.651665
Ireland,86250.994153
Italy,31238.048346
Kiribati,1514.569464
Lao People's Democratic Republic,2622.75764
Latvia,17870.510316
Lesotho,1061.265715
Liberia,490.519124
Lithuania,20771.84218
Luxembourg,117181.646629
Madagascar,469.766309
Malawi,614.867605
Mali,855.863188
Malta,33770.790122
Mauritania,1702.487691
Mozambique,448.843891
Myanmar,1291.748968
Nepal,1135.287957
Netherlands (Kingdom of the),53333.657572
Niger,567.669697
Poland,15764.10583
Portugal,22413.039839
Romania,12928.580656
Rwanda,797.705403
Sao Tome and Principe,2174.047918
Senegal,1457.990727
Sierra Leone,474.692062
Slovakia,19263.637523
Slovenia,25777.396719
Solomon Islands,2250.563757
Somalia,117.858871
South Sudan,1420.710434
Spain,27408.6349
Sudan,1415.243448
Sweden,53574.552637
Timor-Leste,1442.727467
Togo,863.14473
Tuvalu,4648.342104
Uganda,846.116481
United Kingdom of Great Britain and Northern Ireland,40718.221814
United Republic of Tanzania,1112.647575
Vanuatu,2783.029644
Yemen,937.382745
Zambia,985.132788
