drinkingwateraccess
VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Afghanistan,2020,47.0,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Angola,2020,28.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Chad,2020,44.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Democratic Republic of the Congo,2020,31.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Ethiopia,2020,48.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Haiti,2020,47.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Madagascar,2020,35.3,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Mozambique,2020,37.0,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Niger,2020,48.6,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Sierra Leone,2020,47.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Somalia,2020,8.8,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Togo,2020,44.2,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),United Republic of Tanzania,2020,45.5,%,I,FALSE
Environment and health,Access to improved drinking water source,Rural population with access to safe drinking-water (JMP),Yemen,2020,46.5,%,I,FALSE
