final_data
Area,Rural population with access to safe drinking-water (JMP),GDP per Capita
Afghanistan,47.0,508.453722
Angola,28.2,1895.770703
Austria,100.0,48105.631983
Bangladesh,87.0,2000.640157
Belgium,100.0,45028.323405
Benin,72.1,1254.212589
Bhutan,100.0,3217.962935
Bulgaria,99.0,10058.077407
Burkina Faso,75.8,830.925337
Burundi,73.8,285.875782
Cambodia,69.1,1512.728288
Central African Republic,54.4,481.016462
Chad,44.8,679.067284
Comoros,89.1,1420.651905
Croatia,99.7,13934.241955
Cyprus,100.0,28133.071159
Czechia,100.0,22910.628937
Democratic Republic of the Congo,31.2,505.883924
Denmark,100.0,61476.596929
Djibouti,64.7,3465.038713
Eritrea,53.3,587.614196
Estonia,99.0,23105.523391
Ethiopia,48.6,840.36193
Finland,100.0,48685.245393
France,100.0,38958.603419
Gambia,84.4,757.412441
Germany,100.0,45908.724713
Greece,100.0,18117.070258
Guinea,67.4,1179.48889
Guinea-Bissau,60.3,668.190171
Haiti,47.6,1359.802536
Hungary,100.0,16128.651665
Ireland,97.8,86250.994153
Italy,100.0,31238.048346
Kiribati,50.6,1514.569464
Lao People's Democratic Republic,69.4,2622.75764
Latvia,98.3,17870.510316
Lesotho,77.0,1061.265715
Liberia,62.6,490.519124
Lithuania,90.4,20771.84218
Luxembourg,100.0,117181.646629
Madagascar,35.3,469.766309
Malawi,89.1,614.867605
Mali,64.1,855.863188
Malta,100.0,33770.790122
Mauritania,57.1,1702.487691
Mozambique,37.0,448.843891
Myanmar,74.4,1291.748968
Nepal,91.8,1135.287957
Netherlands (Kingdom of the),100.0,53333.657572
Niger,48.6,567.669697
Poland,96.9,15764.10583
Portugal,100.0,22413.039839
Romania,100.0,12928.580656
Rwanda,71.9,797.705403
Sao Tome and Principe,93.6,2174.047918
Senegal,67.3,1457.990727
Sierra Leone,47.8,474.692062
Slovakia,100.0,19263.637523
Slovenia,99.4,25777.396719
Solomon Islands,77.2,2250.563757
Somalia,8.8,117.858871
South Sudan,56.9,1420.710434
Spain,100.0,27408.6349
Sudan,50.2,1415.243448
Sweden,100.0,53574.552637
Timor-Leste,60.5,1442.727467
Togo,44.2,863.14473
Tuvalu,97.0,4648.342104
Uganda,75.8,846.116481
United Kingdom of Great Britain and Northern Ireland,100.0,40718.221814
United Republic of Tanzania,45.5,1112.647575
Vanuatu,92.9,2783.029644
Yemen,46.5,937.382745
Zambia,51.3,985.132788
