gdppercapita
VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Geography and population,"Economy, development and food security",GDP per capita,Afghanistan,2020,508.453722,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Angola,2020,1895.770703,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Austria,2020,48105.631983,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Bangladesh,2020,2000.640157,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Belgium,2020,45028.323405,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Benin,2020,1254.212589,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Bhutan,2020,3217.962935,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Bulgaria,2020,10058.077407,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Burkina Faso,2020,830.925337,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Burundi,2020,285.875782,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Cambodia,2020,1512.728288,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Central African Republic,2020,481.016462,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Chad,2020,679.067284,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Comoros,2020,1420.651905,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Croatia,2020,13934.241955,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Cyprus,2020,28133.071159,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Czechia,2020,22910.628937,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Democratic Republic of the Congo,2020,505.883924,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Denmark,2020,61476.596929,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Djibouti,2020,3465.038713,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Eritrea,2020,587.614196,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Estonia,2020,23105.523391,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Ethiopia,2020,840.36193,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Finland,2020,48685.245393,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,France,2020,38958.603419,current US$/inhab,X,FALSE
Geography and population,"Economy, development and food security",GDP per capita,Gambia,2020,757.412441,current US$/inhab,X,FALSE
